"","id","countries","lon","lat"
"142",142,"Croatia",15.2000001,45.1
"143",143,"Jamaica",-77.297508,18.109581
"144",144,"Mali",-3.996166,17.570692
"145",145,"Montenegro",19.37439,42.708678
"146",146,"Kazakhstan",66.923684,48.019573
"147",147,"Iceland",-19.020835,64.963051
"148",148,"Vanuatu",166.959158,-15.376706
"149",149,"Moldova",28.369885,47.411631
"150",150,"Angola",17.873887,-11.202692
"151",151,"Bangladesh",90.356331,23.684994
"152",152,"Libya",17.228331,26.3351
"153",153,"Brunei",114.727669,4.535277
"154",154,"Ghana",-1.023194,7.946527
"155",155,"Cameroon",12.354722,7.369722
"156",156,"Albania",20.168331,41.153332
"157",157,"Zambia",27.849332,-13.133897
"158",158,"Slovakia",19.699024,48.669026
"159",159,"Not identified",-97.1108285,49.8860835
"160",160,"Marshall Islands",171.184478,7.131474
"161",161,"Uganda",32.290275,1.373333
"162",162,"Central African Republic",20.939444,6.611111
"163",163,"French Polynesia",-149.406843,-17.679742
"164",164,"Norfolk Island",167.954712,-29.040835
"165",165,"Papua New Guinea",143.95555,-6.314993
"166",166,"Nepal",84.124008,28.394857
"167",167,"Fiji",178.065032,-17.713371
"168",168,"Grenada",-61.679,12.1165
"169",169,"Myanmar",95.955974,21.916221
"170",170,"Serbia",21.005859,44.016521
"171",171,"Laos",102.495496,19.85627
"172",172,"Maldives",73.22068,3.202778
"173",173,"Northern Mariana Islands",145.6739,15.0979
"174",174,"Cambodia",104.990963,12.565679
"175",175,"Mongolia",103.846656,46.862496
"176",176,"Burkina Faso",-1.561593,12.238333
"177",177,"Cape Verde",-23.0418,16.5388
"178",178,"Iraq",43.679291,33.223191
"179",179,"DR Congo",21.758664,-4.038333
"180",180,"Algeria",1.659626,28.033886
"181",181,"Madagascar",46.869107,-18.766947
"182",182,"Sierra Leone",-11.779889,8.460555
"183",183,"Rwanda",29.873888,-1.940278
"184",184,"Somalia",46.199616,5.152149
"185",185,"Armenia",45.038189,40.069099
"186",186,"Swaziland",31.465866,-26.522503
"187",187,"Turkmenistan",59.556278,38.969719
"188",188,"Martinique",-61.024174,14.641528
"189",189,"Tajikistan",71.276093,38.861034
"190",190,"Gabon",11.609444,-0.803689
"191",191,"Saint Martin (French part)",-63.0500809,18.0708298
"192",192,"Gambia",-15.310139,13.443182
"193",193,"Togo",0.824782,8.619543
"194",194,"Benin",2.315834,9.30769
"195",195,"Guinea",-9.696645,9.945587
"196",196,"Suriname",-56.027783,3.919305
"197",197,"Bosnia and Herzegovina",17.679076,43.915886
"198",198,"Niger",8.081666,17.607789
"199",199,"Ethiopia",40.489673,9.145
"200",200,"Guyana",-58.93018,4.860416
"201",201,"Palestine",35.233154,31.952162
"202",202,"Guinea-Bissau",-15.180413,11.803749
"203",203,"Solomon Islands",160.156194,-9.64571
"204",204,"Equatorial Guinea",10.267895,1.650801
"205",205,"Réunion",55.536384,-21.115141
"206",206,"San Marino",12.457777,43.94236
"207",207,"Kyrgyzstan",74.766098,41.20438
"208",208,"Tonga",-175.198242,-21.178986
"209",209,"Bhutan",90.433601,27.514162
